provider,model,model_label,prompt_id,iteration_index,family,signature_exact,signature_template,message_exact,message_template
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,68,1,parsing-error,"parsing-error::Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,74,1,parsing-error,"parsing-error::Unexpected 'part', expected one of [""end"", ""NAME"", "";"", ""{"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""for"", ""import"", ""all"", ""*"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""if"", ""else"", ""+"", ""-"", ""<"", ""~"", ""not"", ""hastype"", ""istype"", ""@"", ""as"", ""#"", ""("", ""null"", ""metadata"", ""new"", ""true"", ""false"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", ""DECIMAL_VALUE"", ""REAL_VALUE"", ""STRING_VALUE"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", ""$"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""filter"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""merge"", ""decide"", ""join"", ""fork"", ""accept"", ""send"", ""assign"", ""terminate"", ""while"", ""loop"", ""state"", ""entry"", ""do"", ""exit"", ""exhibit"", ""transition"", ""calc"", ""return"", ""constraint"", ""assert"", ""requirement"", ""subject"", ""assume"", ""require"", ""frame"", ""concern"", ""actor"", ""stakeholder"", ""satisfy"", ""case"", ""objective"", ""analysis"", ""verification"", ""verify"", ""use"", ""include"", ""view"", ""render"", ""rendering"", ""expose"", ""viewpoint""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'part', expected one of [""end"", ""NAME"", "";"", ""{"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""for"", ""import"", ""all"", ""*"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""if"", ""else"", ""+"", ""-"", ""<"", ""~"", ""not"", ""hastype"", ""istype"", ""@"", ""as"", ""#"", ""("", ""null"", ""metadata"", ""new"", ""true"", ""false"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", ""DECIMAL_VALUE"", ""REAL_VALUE"", ""STRING_VALUE"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", ""$"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""filter"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""merge"", ""decide"", ""join"", ""fork"", ""accept"", ""send"", ""assign"", ""terminate"", ""while"", ""loop"", ""state"", ""entry"", ""do"", ""exit"", ""exhibit"", ""transition"", ""calc"", ""return"", ""constraint"", ""assert"", ""requirement"", ""subject"", ""assume"", ""require"", ""frame"", ""concern"", ""actor"", ""stakeholder"", ""satisfy"", ""case"", ""objective"", ""analysis"", ""verification"", ""verify"", ""use"", ""include"", ""view"", ""render"", ""rendering"", ""expose"", ""viewpoint""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,74,2,parsing-error,"parsing-error::Unexpected 'part', expected one of [""end"", ""NAME"", "";"", ""{"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""for"", ""import"", ""all"", ""*"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""if"", ""else"", ""+"", ""-"", ""<"", ""~"", ""not"", ""hastype"", ""istype"", ""@"", ""as"", ""#"", ""("", ""null"", ""metadata"", ""new"", ""true"", ""false"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", ""DECIMAL_VALUE"", ""REAL_VALUE"", ""STRING_VALUE"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", ""$"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""filter"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""merge"", ""decide"", ""join"", ""fork"", ""accept"", ""send"", ""assign"", ""terminate"", ""while"", ""loop"", ""state"", ""entry"", ""do"", ""exit"", ""exhibit"", ""transition"", ""calc"", ""return"", ""constraint"", ""assert"", ""requirement"", ""subject"", ""assume"", ""require"", ""frame"", ""concern"", ""actor"", ""stakeholder"", ""satisfy"", ""case"", ""objective"", ""analysis"", ""verification"", ""verify"", ""use"", ""include"", ""view"", ""render"", ""rendering"", ""expose"", ""viewpoint""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'part', expected one of [""end"", ""NAME"", "";"", ""{"", ""}"", ""dependency"", ""locale"", ""comment"", ""doc"", ""rep"", ""language"", ""private"", ""protected"", ""public"", ""alias"", ""for"", ""import"", ""all"", ""*"", ""["", ""abstract"", ""in"", ""inout"", ""out"", ""derived"", ""end"", ""ordered"", ""nonunique"", ""if"", ""else"", ""+"", ""-"", ""<"", ""~"", ""not"", ""hastype"", ""istype"", ""@"", ""as"", ""#"", ""("", ""null"", ""metadata"", ""new"", ""true"", ""false"", ""SINGLE_LINE_NOTE"", ""MULTILINE_NOTE"", ""REGULAR_COMMENT"", ""DECIMAL_VALUE"", ""REAL_VALUE"", ""STRING_VALUE"", "":>"", ""subsets"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", ""$"", "":"", ""defined"", ""standard"", ""library"", ""package"", ""filter"", ""variation"", ""variant"", ""constant"", ""ref"", ""attribute"", ""enum"", ""occurrence"", ""individual"", ""timeslice"", ""snapshot"", ""event"", ""then"", ""item"", ""part"", ""port"", ""connection"", ""connect"", ""binding"", ""bind"", ""succession"", ""first"", ""flow"", ""message"", ""interface"", ""allocation"", ""allocate"", ""action"", ""perform"", ""merge"", ""decide"", ""join"", ""fork"", ""accept"", ""send"", ""assign"", ""terminate"", ""while"", ""loop"", ""state"", ""entry"", ""do"", ""exit"", ""exhibit"", ""transition"", ""calc"", ""return"", ""constraint"", ""assert"", ""requirement"", ""subject"", ""assume"", ""require"", ""frame"", ""concern"", ""actor"", ""stakeholder"", ""satisfy"", ""case"", ""objective"", ""analysis"", ""verification"", ""verify"", ""use"", ""include"", ""view"", ""render"", ""rendering"", ""expose"", ""viewpoint""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,77,1,parsing-error,"parsing-error::Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,91,1,parsing-error,"parsing-error::Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'state', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,94,1,parsing-error,parsing-error::Unexpected token '汽车'.,parsing-error::Unexpected token <q>.,Unexpected token '汽车'.,Unexpected token <q>.
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,95,1,parsing-error,"parsing-error::Unexpected 'standard', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'standard', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,95,1,parsing-error,"parsing-error::Unexpected 'standard', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'standard', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,95,1,parsing-error,"parsing-error::Unexpected 'standard', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","parsing-error::Unexpected <q>, expected one of [...].","Unexpected 'standard', expected one of [""SINGLE_LINE_NOTE"", ""NAME"", ""["", ""ordered"", ""nonunique"", ""<"", ""::>"", ""references"", ""=>"", ""crosses"", "":>>"", ""redefines"", "":"", ""defined"", "";"", ""{"", ""="", "":="", ""default"", ""def"", ""MULTILINE_NOTE"", "":>"", ""subsets"", ""MultiplicityRange"", ""OwningMembership"", ""FeatureValue""].","Unexpected <q>, expected one of [...]."
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,96,1,parsing-error,parsing-error::Expected a token. Did you forget ';'?,parsing-error::Expected a token. Did you forget <q>?,Expected a token. Did you forget ';'?,Expected a token. Did you forget <q>?
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,100,1,feature-value-overriding,feature-value-overriding::Cannot override a binding feature value,feature-value-overriding::Cannot override a binding feature value,Cannot override a binding feature value,Cannot override a binding feature value
anthropic,claude-sonnet-4-6,Anthropic Claude Sonnet 4.6,100,1,feature-value-overriding,feature-value-overriding::Cannot override a binding feature value,feature-value-overriding::Cannot override a binding feature value,Cannot override a binding feature value,Cannot override a binding feature value
